atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
s,S,32.063999176025391,lj_ab_12_6,365906.40000000002,250.80000000000001,2 Sulfur in methionine (C-S-C) group
s$,S,32.063999176025391,lj_ab_12_6,,,2 Sulfur atom for automatic parameter assignment
s',S,32.063999176025391,lj_ab_12_6,1395550.1000000001,956.80799999999999,2 Sulfur in thioketone (>C=S) group
s-,S,32.063999176025391,lj_ab_12_6,,,1 Partial double sulfur bonded to something then bonded to another
s1,S,32.063999176025391,lj_ab_12_6,,,2 Sulfur involved in S-S disulfide bond
s3e,S,32.063999176025391,lj_ab_12_6,,,2 Sulfur in three membered ring
s4e,S,32.063999176025391,lj_ab_12_6,,,2 Sulfur in four membered ring
sc,S,32.063999176025391,lj_ab_12_6,,,2 Sp3 sulfur in methionines (C-S-C) group
sc1,Si,28.086000442504883,lj_ab_12_6,40152000,9050.3999999999996,4 Silicon atom in silicate ion in Ca3SiO5 (+1.0)
sc4,Si,28.086000442504883,lj_ab_12_6,2426940,950.16999999999996,"4 Silicon atom in silica (+1.1 in bulk SiO2 or SiOH, +0.725 in SiO-)"
sh,S,32.063999176025391,lj_ab_12_6,,,2 Sulfur in sulfhydryl (-SH) group
si,Si,28.086000442504883,lj_ab_12_6,3149175,710,4 Silicon
sp,S,32.063999176025391,lj_ab_12_6,,,2 Sulfur in thiophene
sr2+,Sr,87.620002746582031,lj_ab_12_6,288067.5,597.66499999999996,0 Strontium ion in water (+2.0)
sy1,Si,28.086000442504883,lj_ab_12_6,838900,409.60000000000002,4 Silicon atom in tetrahedral silicate sheet (+1.1)
sy2,Si,28.086000442504883,lj_ab_12_6,,,4 Silicon atom in tetrahedral silicate sheet (+1.1)
sz,Si,28.086000442504883,lj_ab_12_6,3149175,710,1 Silicon atom in a Zeolite or Silicate
tft,Ti,47.867000579833984,lj_ab_12_6,54934859.020000003,4192.7502699999995,6 Ti in H2TiF6
zfz,Zr,91.2239990234375,lj_ab_12_6,6895252.3550000004,1660.7531200000001,6 Zr in H2ZrF6
zn2+,Zn,65.379997253417969,lj_ab_12_6,202.744,12.082000000000001,0 Zinc ion in water (+2.0)
zoh1,O,15.99940013885498,lj_ab_12_6,371803.5466,425.95789789999998,"3 surface OH in monoclinic ZrO2 001, upper layer, -0.56e"
zoh2,O,15.99940013885498,lj_ab_12_6,371803.5466,425.95789789999998,"3 surface OH in monoclinic ZrO2 001, lower layer, -0.56e"
zr1,Zr,91.2239990234375,lj_ab_12_6,61478762.619999997,4958.9822590000003,7 1st Zirconium in zirconia (+0.92e)
zr2,Zr,91.2239990234375,lj_ab_12_6,61478762.619999997,4958.9822590000003,7 2nd Zirconium in zirconia (+0.92e)
zr3,Zr,91.2239990234375,lj_ab_12_6,61478762.619999997,4958.9822590000003,7 3rd Zirconium in zirconia (+0.92e)
zr4,Zr,91.2239990234375,lj_ab_12_6,61478762.619999997,4958.9822590000003,7 4th Zirconium in zirconia (+0.92e)
