atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
HS,X,0,lj_ab_12_6,0.028242953648100005,0.10628820000000001,
HT,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
K+,X,0,lj_ab_12_6,1813147.5816989981,1204.3745535999997,
MG,X,0,lj_ab_12_6,471.05477571275941,5.3163226522442715,
N,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NA+,X,0,lj_ab_12_6,96791.896697517775,190.77146840727175,
NC,X,0,lj_ab_12_6,3949771.2035040236,3078.871690800001,
NC2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NE,X,0,lj_ab_12_6,57963.629128793786,141.20725342667444,
NH1,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NH2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NH3,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NH3L,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NI,X,0,lj_ab_12_6,431138.18431007385,3121.4937074111922,
NP,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NPH,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NR1,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NR2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NR3,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NS1,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NS2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NTL,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NY,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
O,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
O*,X,0,lj_ab_12_6,629342.2025230584,625.45912183637802,
O2L,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OAP1,X,0,lj_ab_12_6,167049.44785851703,216.27261823999999,
OAP2,X,0,lj_ab_12_6,526636.16046720312,410.51622544000014,
OB,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OBL,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OC,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OC1,X,0,lj_ab_12_6,76351.334540602082,156.30875552249998,
OC2,X,0,lj_ab_12_6,270337.64064453123,294.1225,
OC23,X,0,lj_ab_12_6,164568.78292672371,188.5387416744164,
OC24,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
OC3,X,0,lj_ab_12_6,270337.64064453123,294.1225,
OC4,X,0,lj_ab_12_6,190913.654695448,247.16870655999995,
OC5,X,0,lj_ab_12_6,365708.40650383045,418.97498149870313,
OCA,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OCL,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OH1,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OHL,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OM,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OS,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OSL,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OST,X,0,lj_ab_12_6,372090.169810261,495.559796669153,
OT,X,0,lj_ab_12_6,581923.36738085956,595.01443403880126,
OY1,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY2,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY3,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY4,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY5,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY6,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY7,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY8,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY9,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
PAP,X,0,lj_ab_12_6,11188696.623233518,3539.9633074399994,
PB,X,0,lj_ab_12_6,12347585.173684245,12029.700671071552,
PD,X,0,lj_ab_12_6,1548873.774040116,6172.7056337870881,
PL,X,0,lj_ab_12_6,23376384.016398594,7395.9947673299976,
POT,X,0,lj_ab_12_6,322941.24983667437,335.23656564158193,
PT,X,0,lj_ab_12_6,2193218.2521562153,8272.1466057652724,
S,X,0,lj_ab_12_6,7549747.2000000002,3686.4000000000001,
SC1,X,0,lj_ab_12_6,32407686.070817869,7805.5396874999997,
SC4,X,0,lj_ab_12_6,2426945.9764881576,950.17046010365664,
SL,X,0,lj_ab_12_6,14160850.658720659,5159.6898393600013,
SM,X,0,lj_ab_12_6,5482122.6054775845,2886.6635343118755,
SOD,X,0,lj_ab_12_6,7949.6856117226562,38.61814367313854,
SS,X,0,lj_ab_12_6,24747422.665085487,6820.9350246400027,
SY1,X,0,lj_ab_12_6,838860.80000000005,409.60000000000002,
SY2,X,0,lj_ab_12_6,838860.80000000005,409.60000000000002,
ZN,X,0,lj_ab_12_6,2880.168736545686,53.66720354691202,
